date,sales,promotion,day_of_week,month,year,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_28
2014-04-29,326382.348,0.0019452001736319393,1,4,2014,362276.917,370687.249,364694.055,485079.887
2014-04-30,357097.965,0.0030957387281666526,2,4,2014,326382.348,372236.595,411357.085,463919.316
2014-05-01,530403.848,0.013085843977512019,3,5,2014,357097.965,320883.4779,397473.8429,388867.9614
2014-05-02,443287.8914,0.0057157618088730855,4,5,2014,530403.848,357179.7085,394393.1841,422583.7449
2014-05-03,610393.749,0.0019784737343370145,5,5,2014,443287.8914,497352.735,496904.749,617682.194
2014-05-04,646221.864,0.0021537989930962786,6,5,2014,610393.749,560556.421,520127.523,631889.251
2014-05-05,427667.704,0.003180979034133473,0,5,2014,646221.864,362276.917,398689.397,426098.104
2014-05-06,388949.89,0.0033346609250872908,1,5,2014,427667.704,326382.348,370687.249,376672.272
2014-05-07,391937.184,0.002890366227665707,2,5,2014,388949.89,357097.965,372236.595,375309.082
2014-05-08,337491.7132,0.012370327438309379,3,5,2014,391937.184,530403.848,320883.4779,334057.704
2014-05-09,381336.1961,0.006559330128063865,4,5,2014,337491.7132,443287.8914,357179.7085,379649.8459
2014-05-10,577020.829,0.001307746552767855,5,5,2014,381336.1961,610393.749,497352.735,529920.923
2014-05-11,454527.502,0.0021069880167559145,6,5,2014,577020.829,646221.864,560556.421,540194.282
2014-05-12,398254.2,0.00249295299333943,0,5,2014,454527.502,427667.704,362276.917,381399.309
2014-05-13,360764.523,0.0021408756980242204,1,5,2014,398254.2,388949.89,326382.348,364694.055
2014-05-14,356381.807,0.00437620823893516,2,5,2014,360764.523,391937.184,357097.965,411357.085
2014-05-15,332280.6357,0.015514984763224347,3,5,2014,356381.807,337491.7132,530403.848,397473.8429
2014-05-16,380823.7426,0.037090801911571776,4,5,2014,332280.6357,381336.1961,443287.8914,394393.1841
2014-05-17,537875.964,0.0028400190791942506,5,5,2014,380823.7426,577020.829,610393.749,496904.749
2014-05-18,634522.737,0.0030738599048815494,6,5,2014,537875.964,454527.502,646221.864,520127.523
2014-05-19,388817.745,0.0024883097863756193,0,5,2014,634522.737,398254.2,427667.704,398689.397
2014-05-20,354387.34,0.0036739658927996692,1,5,2014,388817.745,360764.523,388949.89,370687.249
2014-05-21,356898.483,0.00561448449754268,2,5,2014,354387.34,356381.807,391937.184,372236.595
2014-05-22,310664.1426,0.041373252453371485,3,5,2014,356898.483,332280.6357,337491.7132,320883.4779
2014-05-23,349552.8927,0.037980669813521474,4,5,2014,310664.1426,380823.7426,381336.1961,357179.7085
2014-05-24,516629.262,0.007177702218501128,5,5,2014,349552.8927,537875.964,577020.829,497352.735
2014-05-25,573430.21,0.005222354783156612,6,5,2014,516629.262,634522.737,454527.502,560556.421
2014-05-26,373838.086,0.005735675631508556,0,5,2014,573430.21,388817.745,398254.2,362276.917
2014-05-27,327643.143,0.0046939850042886444,1,5,2014,373838.086,354387.34,360764.523,326382.348
2014-05-28,338482.784,0.00487958052247644,2,5,2014,327643.143,356898.483,356381.807,357097.965
2014-05-29,326631.5774,0.0404672999016659,3,5,2014,338482.784,310664.1426,332280.6357,530403.848
2014-05-30,375800.388,0.035619800903451966,4,5,2014,326631.5774,349552.8927,380823.7426,443287.8914
2014-05-31,597196.468,0.006235567689258336,5,5,2014,375800.388,516629.262,537875.964,610393.749
2014-06-01,742733.83,0.0021805792796593094,6,6,2014,597196.468,573430.21,634522.737,646221.864
2014-06-02,512727.773,0.005306997481488096,0,6,2014,742733.83,373838.086,388817.745,427667.704
2014-06-03,443637.514,0.006184666340006585,1,6,2014,512727.773,327643.143,354387.34,388949.89
2014-06-04,423304.495,0.005125527901611345,2,6,2014,443637.514,338482.784,356898.483,391937.184
2014-06-05,359478.5978,0.04085159197202143,3,6,2014,423304.495,326631.5774,310664.1426,337491.7132
2014-06-06,391781.1253,0.03478792141802039,4,6,2014,359478.5978,375800.388,349552.8927,381336.1961
2014-06-07,557146.461,0.00382374321498203,5,6,2014,391781.1253,597196.468,516629.262,577020.829
