date,sales,promotion,month,year,sales_lag_1,sales_lag_2,sales_lag_4,sales_lag_8
2014-06-29,2875466.2324,0.02282316212255583,6,2014,3032571.6436,2926615.9762,3082326.2764,2913787.6654
2014-07-06,4812193.5603,0.056057472256619445,7,2014,2875466.2324,3032571.6436,3314102.9231000002,2958931.0183
2014-07-13,4295995.4826,0.056172594216498395,7,2014,4812193.5603,2875466.2324,2926615.9762,3000903.6092999997
2014-07-20,4320542.968,0.06126266211455485,7,2014,4295995.4826,4812193.5603,3032571.6436,2850380.0753
2014-07-27,4205296.146,0.05900106779305051,7,2014,4320542.968,4295995.4826,2875466.2324,3082326.2764
2014-08-03,3978481.3942,0.06436611099233076,8,2014,4205296.146,4320542.968,4812193.5603,3314102.9231000002
2014-08-10,3054664.175,0.034410707029685184,8,2014,3978481.3942,4205296.146,4295995.4826,2926615.9762
2014-08-17,2977423.867,0.03804780208003888,8,2014,3054664.175,3978481.3942,4320542.968,3032571.6436
2014-08-24,2982745.5854,0.03944075337026228,8,2014,2977423.867,3054664.175,4205296.146,2875466.2324
2014-08-31,3111591.1040000003,0.034185968028786345,8,2014,2982745.5854,2977423.867,3978481.3942,4812193.5603
2014-09-07,5279115.1229,0.062317969459108495,9,2014,3111591.1040000003,2982745.5854,3054664.175,4295995.4826
2014-09-14,4564301.509,0.07012726577524615,9,2014,5279115.1229,3111591.1040000003,2977423.867,4320542.968
2014-09-21,4596141.3040000005,0.07033521112996659,9,2014,4564301.509,5279115.1229,2982745.5854,4205296.146
2014-09-28,4397565.4717,0.06415174755566336,9,2014,4596141.3040000005,4564301.509,3111591.1040000003,3978481.3942
2014-10-05,5197163.2825,0.06169333818693622,10,2014,4397565.4717,4596141.3040000005,5279115.1229,3054664.175
2014-10-12,4653542.3137,0.05980575618291063,10,2014,5197163.2825,4397565.4717,4564301.509,2977423.867
2014-10-19,4640317.4425,0.06031659503217274,10,2014,4653542.3137,5197163.2825,4596141.3040000005,2982745.5854
2014-10-26,4423543.9723000005,0.05971840172816179,10,2014,4640317.4425,4653542.3137,4397565.4717,3111591.1040000003
2014-11-02,4251439.5608,0.06026264382593972,11,2014,4423543.9723000005,4640317.4425,5197163.2825,5279115.1229
2014-11-09,5303992.6677,0.05603250562728903,11,2014,4251439.5608,4423543.9723000005,4653542.3137,4564301.509
2014-11-16,4497895.0883,0.059335458422368474,11,2014,5303992.6677,4251439.5608,4640317.4425,4596141.3040000005
2014-11-23,4505598.8896,0.060890778056889194,11,2014,4497895.0883,5303992.6677,4423543.9723000005,4397565.4717
2014-11-30,4641552.72,0.05917065227258692,11,2014,4505598.8896,4497895.0883,4251439.5608,5197163.2825
2014-12-07,5326093.5446,0.06032770309221655,12,2014,4641552.72,4505598.8896,5303992.6677,4653542.3137
2014-12-14,5265141.0071,0.06585396944401618,12,2014,5326093.5446,4641552.72,4497895.0883,4640317.4425
2014-12-21,5850999.587,0.08152892508484806,12,2014,5265141.0071,5326093.5446,4505598.8896,4423543.9723000005
2014-12-28,5369430.002,0.09882689983896731,12,2014,5850999.587,5265141.0071,4641552.72,4251439.5608
2015-01-04,4581876.187,0.08726446103769413,1,2015,5369430.002,5850999.587,5326093.5446,5303992.6677
2015-01-11,3663106.045,0.04355111674087502,1,2015,4581876.187,5369430.002,5265141.0071,4497895.0883
2015-01-18,3332574.054,0.04233919028165128,1,2015,3663106.045,4581876.187,5850999.587,4505598.8896
2015-01-25,3269021.809,0.036555081606064625,1,2015,3332574.054,3663106.045,5369430.002,4641552.72
2015-02-01,3397567.598,0.03769770970131556,2,2015,3269021.809,3332574.054,4581876.187,5326093.5446
2015-02-08,3533272.807,0.037026794744185174,2,2015,3397567.598,3269021.809,3663106.045,5265141.0071
2015-02-15,3134974.752,0.04193392176958751,2,2015,3533272.807,3397567.598,3332574.054,5850999.587
2015-02-22,3585661.4129999997,0.03589614974056113,2,2015,3134974.752,3533272.807,3269021.809,5369430.002
2015-03-01,3494238.154,0.031884358503859435,3,2015,3585661.4129999997,3134974.752,3397567.598,4581876.187
2015-03-08,3731065.7,0.031702562889739515,3,2015,3494238.154,3585661.4129999997,3533272.807,3663106.045
2015-03-15,3460704.052,0.03160991559991389,3,2015,3731065.7,3494238.154,3134974.752,3332574.054
2015-03-22,3392220.855,0.03562877541474226,3,2015,3460704.052,3731065.7,3585661.4129999997,3269021.809
2015-03-29,3313564.982,0.03640893528732976,3,2015,3392220.855,3460704.052,3494238.154,3397567.598
2015-04-05,3786918.838,0.035565087545190215,4,2015,3313564.982,3392220.855,3731065.7,3533272.807
2015-04-12,3560863.026,0.03636239503024343,4,2015,3786918.838,3313564.982,3460704.052,3134974.752
2015-04-19,3484474.715,0.04212970705973397,4,2015,3560863.026,3786918.838,3392220.855,3585661.4129999997
2015-04-26,3373332.268,0.04796725408135811,4,2015,3484474.715,3560863.026,3313564.982,3494238.154
2015-05-03,3759807.9,0.05380050720144505,5,2015,3373332.268,3484474.715,3786918.838,3731065.7
2015-05-10,3761127.1720000003,0.05016204674081145,5,2015,3759807.9,3373332.268,3560863.026,3460704.052
2015-05-17,3811183.935,0.03980072323641341,5,2015,3761127.1720000003,3759807.9,3484474.715,3392220.855
2015-05-24,3682081.533,0.03655179625811942,5,2015,3811183.935,3761127.1720000003,3373332.268,3313564.982
2015-05-31,4348391.366,0.03253625883498729,5,2015,3682081.533,3811183.935,3759807.9,3786918.838
2015-06-07,5555532.96,0.05967151133597091,6,2015,4348391.366,3682081.533,3761127.1720000003,3560863.026
2015-06-14,4887501.299000001,0.0627005928494997,6,2015,5555532.96,4348391.366,3811183.935,3484474.715
2015-06-21,4959672.092,0.0741444331759665,6,2015,4887501.299000001,5555532.96,3682081.533,3373332.268
2015-06-28,4908413.3440000005,0.06937001025315441,6,2015,4959672.092,4887501.299000001,4348391.366,3759807.9
2015-07-05,5674151.446,0.06817513573288575,7,2015,4908413.3440000005,4959672.092,5555532.96,3761127.1720000003
2015-07-12,5085774.868,0.06720376105330977,7,2015,5674151.446,4908413.3440000005,4887501.299000001,3811183.935
2015-07-19,4872623.9,0.06788816698945305,7,2015,5085774.868,5674151.446,4959672.092,3682081.533
2015-07-26,4777294.424,0.0755810104954084,7,2015,4872623.9,5085774.868,4908413.3440000005,4348391.366
2015-08-02,5200434.345,0.06985299090435877,8,2015,4777294.424,4872623.9,5674151.446,5555532.96
2015-08-09,4972876.033,0.07423613992188974,8,2015,5200434.345,4777294.424,5085774.868,4887501.299000001
2015-08-16,5274703.509,0.06641681250941378,8,2015,4972876.033,5200434.345,4872623.9,4959672.092
2015-08-23,4869842.579,0.07013245817694018,8,2015,5274703.509,4972876.033,4777294.424,4908413.3440000005
2015-08-30,4983270.577,0.06801616002236999,8,2015,4869842.579,5274703.509,5200434.345,5674151.446
2015-09-06,6205936.042,0.08629272399452806,9,2015,4983270.577,4869842.579,4972876.033,5085774.868
2015-09-13,5324456.23,0.11302264869965883,9,2015,6205936.042,4983270.577,5274703.509,4872623.9
2015-09-20,5333676.2299999995,0.11766756772186003,9,2015,5324456.23,6205936.042,4869842.579,4777294.424
2015-09-27,5162298.999,0.10854813545448416,9,2015,5333676.2299999995,5324456.23,4983270.577,5200434.345
2015-10-04,6032281.063,0.08812617987259722,10,2015,5162298.999,5333676.2299999995,6205936.042,4972876.033
2015-10-11,5544253.249,0.08851587544066748,10,2015,6032281.063,5162298.999,5324456.23,5274703.509
2015-10-18,5296349.813,0.07542781219235906,10,2015,5544253.249,6032281.063,5333676.2299999995,4869842.579
2015-10-25,5097343.321,0.06362083198594108,10,2015,5296349.813,5544253.249,5162298.999,4983270.577
2015-11-01,4719838.253,0.0710569206024866,11,2015,5097343.321,5296349.813,6032281.063,6205936.042
2015-11-08,5979610.848999999,0.08158502573484111,11,2015,4719838.253,5097343.321,5544253.249,5324456.23
2015-11-15,5054430.1559999995,0.08527981131331316,11,2015,5979610.848999999,4719838.253,5296349.813,5333676.2299999995
2015-11-22,5125479.37,0.09301710427136105,11,2015,5054430.1559999995,5979610.848999999,5097343.321,5162298.999
2015-11-29,5065119.9229999995,0.08995308796758769,11,2015,5125479.37,5054430.1559999995,4719838.253,6032281.063
2015-12-06,6022650.801999999,0.08421574945563316,12,2015,5065119.9229999995,5125479.37,5979610.848999999,5544253.249
2015-12-13,5624099.113,0.07920944493497228,12,2015,6022650.801999999,5065119.9229999995,5054430.1559999995,5296349.813
2015-12-20,6428729.475,0.07537919053593402,12,2015,5624099.113,6022650.801999999,5125479.37,5097343.321
2015-12-27,6279460.143999999,0.06544254069239619,12,2015,6428729.475,5624099.113,5065119.9229999995,4719838.253
2016-01-03,5965126.668,0.05957384407381707,1,2016,6279460.143999999,6428729.475,6022650.801999999,5979610.848999999
2016-01-10,6064148.2870000005,0.06456223899394234,1,2016,5965126.668,6279460.143999999,5624099.113,5054430.1559999995
2016-01-17,5263505.317,0.06925765531624332,1,2016,6064148.2870000005,5965126.668,6428729.475,5125479.37
2016-01-24,5168621.233,0.06983771449441012,1,2016,5263505.317,6064148.2870000005,6279460.143999999,5065119.9229999995
2016-01-31,5172379.271,0.07399904800987282,1,2016,5168621.233,5263505.317,5965126.668,6022650.801999999
2016-02-07,5470027.25,0.09237470709126723,2,2016,5172379.271,5168621.233,6064148.2870000005,5624099.113
2016-02-14,5318397.286,0.12196073123522574,2,2016,5470027.25,5172379.271,5263505.317,6428729.475
2016-02-21,5307519.427,0.11824019122897879,2,2016,5318397.286,5470027.25,5168621.233,6279460.143999999
2016-02-28,5127564.78,0.11903695168917983,2,2016,5307519.427,5318397.286,5172379.271,5965126.668
2016-03-06,6030597.106000001,0.10586619397352921,3,2016,5127564.78,5307519.427,5470027.25,6064148.2870000005
2016-03-13,5165638.091,0.10367482904640056,3,2016,6030597.106000001,5127564.78,5318397.286,5263505.317
2016-03-20,5148016.569,0.10818123650837068,3,2016,5165638.091,6030597.106000001,5307519.427,5168621.233
2016-03-27,4955706.029,0.08489552458076202,3,2016,5148016.569,5165638.091,5127564.78,5172379.271
2016-04-03,5850164.5600000005,0.08700928747891495,4,2016,4955706.029,5148016.569,6030597.106000001,5470027.25
2016-04-10,5480649.977,0.11500140031657417,4,2016,5850164.5600000005,4955706.029,5165638.091,5318397.286
2016-04-17,5338062.354,0.11385314496084659,4,2016,5480649.977,5850164.5600000005,5148016.569,5307519.427
2016-04-24,7488356.82,0.10064292542619516,4,2016,5338062.354,5480649.977,4955706.029,5127564.78
2016-05-01,5647783.347999999,0.14362506509518466,5,2016,7488356.82,5338062.354,5850164.5600000005,6030597.106000001
2016-05-08,5873661.436,0.162137357485921,5,2016,5647783.347999999,7488356.82,5480649.977,5165638.091
2016-05-15,5469232.483,0.14984512882700948,5,2016,5873661.436,5647783.347999999,5338062.354,5148016.569
2016-05-22,5310771.339,0.1423750123541141,5,2016,5469232.483,5873661.436,7488356.82,4955706.029
2016-05-29,5139705.106000001,0.17718840268420644,5,2016,5310771.339,5469232.483,5647783.347999999,5850164.5600000005
2016-06-05,6111085.617000001,0.16427920060672258,6,2016,5139705.106000001,5310771.339,5873661.436,5480649.977
2016-06-12,5063303.154,0.15937381990697214,6,2016,6111085.617000001,5139705.106000001,5469232.483,5338062.354
2016-06-19,5184933.278,0.16953958033170277,6,2016,5063303.154,6111085.617000001,5310771.339,7488356.82
2016-06-26,5108908.567,0.1461904694917199,6,2016,5184933.278,5063303.154,5139705.106000001,5647783.347999999
2016-07-03,5530694.627,0.12019892180534232,7,2016,5108908.567,5184933.278,6111085.617000001,5873661.436
2016-07-10,5412263.657,0.1263304209349977,7,2016,5530694.627,5108908.567,5063303.154,5469232.483
2016-07-17,4988172.307,0.11916577263496683,7,2016,5412263.657,5530694.627,5184933.278,5310771.339
2016-07-24,4918560.823,0.11437202959236438,7,2016,4988172.307,5412263.657,5108908.567,5139705.106000001
2016-07-31,5082334.526000001,0.10595393814499962,7,2016,4918560.823,4988172.307,5530694.627,6111085.617000001
2016-08-07,5543438.764,0.13353954891815956,8,2016,5082334.526000001,4918560.823,5412263.657,5063303.154
2016-08-14,4828423.578,0.16333975660161107,8,2016,5543438.764,5082334.526000001,4988172.307,5184933.278
2016-08-21,5151715.923,0.1683788054242835,8,2016,4828423.578,5543438.764,4918560.823,5108908.567
2016-08-28,4901334.401000001,0.14976209455331957,8,2016,5151715.923,4828423.578,5082334.526000001,5530694.627
2016-09-04,5751016.625,0.13290448243139968,9,2016,4901334.401000001,5151715.923,5543438.764,5412263.657
2016-09-11,5492211.552,0.12904318529789946,9,2016,5751016.625,4901334.401000001,4828423.578,4988172.307
2016-09-18,5084679.817,0.1543366843623617,9,2016,5492211.552,5751016.625,5151715.923,4918560.823
2016-09-25,5010439.841,0.17468717134129144,9,2016,5084679.817,5492211.552,4901334.401000001,5082334.526000001
2016-10-02,5539428.341,0.1649100605271283,10,2016,5010439.841,5084679.817,5751016.625,5543438.764
2016-10-09,5706805.5879999995,0.17276608319603406,10,2016,5539428.341,5010439.841,5492211.552,4828423.578
2016-10-16,5237764.579,0.17816339488441907,10,2016,5706805.5879999995,5539428.341,5084679.817,5151715.923
2016-10-23,5108088.816,0.1621249874132964,10,2016,5237764.579,5706805.5879999995,5010439.841,4901334.401000001
2016-10-30,4891747.342,0.22330863158467681,10,2016,5108088.816,5237764.579,5539428.341,5751016.625
2016-11-06,6116311.068,0.2507418337539663,11,2016,4891747.342,5108088.816,5706805.5879999995,5492211.552
2016-11-13,5827725.890000001,0.26576983547865524,11,2016,6116311.068,4891747.342,5237764.579,5084679.817
2016-11-20,5672679.74,0.24265003298070903,11,2016,5827725.890000001,6116311.068,5108088.816,5010439.841
2016-11-27,5518975.65,0.25487033051142377,11,2016,5672679.74,5827725.890000001,4891747.342,5539428.341
2016-12-04,6252746.703,0.23768211677069112,12,2016,5518975.65,5672679.74,6116311.068,5706805.5879999995
2016-12-11,6186209.901000001,0.23846263780372814,12,2016,6252746.703,5518975.65,5827725.890000001,5237764.579
2016-12-18,6420658.075,0.23321592919429837,12,2016,6186209.901000001,6252746.703,5672679.74,5108088.816
2016-12-25,6956461.809,0.22877543824664154,12,2016,6420658.075,6186209.901000001,5518975.65,4891747.342
2017-01-01,6005897.225,0.23631538932969337,1,2017,6956461.809,6420658.075,6252746.703,6116311.068
2017-01-08,7410543.456,0.1965209899445194,1,2017,6005897.225,6956461.809,6186209.901000001,5827725.890000001
2017-01-15,5903366.658,0.22065086474593154,1,2017,7410543.456,6005897.225,6420658.075,5672679.74
2017-01-22,5911702.025,0.21422650137715626,1,2017,5903366.658,7410543.456,6956461.809,5518975.65
